player,position,team,league,mins,goals,assists,goals_assists,npg,npg_assists,xg,xa,xg_xa,npxg,npxg_xa,shots,shots_on_target,shot_distance,sca,gca,pass_percent,prog_pass_dist,key_passes,pass_final_third,ppa,cross_pa,prog_pass,tackles,pressures,blocks,interceptions,tkl_int,clearances,touches,dribble_att,dribble_success,prog_carry_dist
Nadiem Amiri,MFFW,Leverkusen,Bundesliga,1857,0.05,0.1,0.15,0.05,0.15,0.12,0.29,0.4,0.12,0.4,2.09,0.87,22,4.31,0.44,78.9,208.4,2.62,3.54,1.12,0.29,4.66,0.87,13.9,1.36,0.68,1.55,0.44,66.7,2.62,59.3,160.7
Ethan Ampadu,DF,RB Leipzig,Bundesliga,81,0,0,0,0,0,0.19,0,0.19,0.19,0.19,1.11,0,7,0,0,94.9,494.4,0,5.56,0,0,1.11,5.56,16.7,2.22,0,5.56,7.78,103.3,0,,263.3
Opoku Ampomah,FW,Düsseldorf,Bundesliga,500,0,0,0,0,0,0.17,0.06,0.22,0.17,0.22,2.86,0.89,19.7,3.06,0,60.6,60.2,1.43,1.07,0.54,0,2.14,1.79,16.1,0.71,0.54,2.32,0.89,36.6,7.32,43.9,154.6
Sofyan Amrabat,MF,Hellas Verona,Serie A,2919,0.03,0.03,0.06,0,0.03,0.06,0.05,0.11,0.03,0.09,0.52,0.19,22.1,2.31,0.15,87.7,194.3,0.93,4.63,1.02,0.28,4.35,1.94,18.3,1.33,0.83,2.78,0.96,64.5,3.4,76.4,199.3
Joachim Andersen,DF,Lyon,Ligue 1,1531,0.06,0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,0.59,0.06,15.3,0.71,0,91.1,418.5,0.24,3.35,0.18,0.06,3.82,1.06,6.29,1.29,0.47,1.53,5.59,86.8,0.12,100,204.5
Djavan Anderson,DFMF,Lazio,Serie A,167,0,0,0,0,0,0.05,0,0.05,0.05,0.05,0.53,0,16.1,1.08,0,85.3,108.4,0,0,0.53,0.53,0,0.53,12.6,2.63,0.53,1.05,1.05,48.4,2.63,40,136.3
Felipe Anderson,MFFW,West Ham,Premier League,1497,0.06,0.24,0.3,0.06,0.3,0.15,0.19,0.33,0.15,0.33,1.39,0.48,16.7,3.49,0.48,77.6,211.1,1.57,2.95,1.99,0.36,5.12,2.71,22.3,1.27,0.84,3.55,0.84,70.1,5.84,68,275.5
Sebastian Andersson,FW,Union Berlin,Bundesliga,2682,0.4,0.03,0.44,0.37,0.4,0.41,0.05,0.46,0.36,0.41,2.05,1.17,11.5,1.61,0.3,62.3,47.8,0.67,1.54,0.44,0.13,1.58,0.6,19.4,1.04,0.2,0.81,1.34,40.6,1.41,59.5,46.8
Florin Andone,MFFW,Brighton,Premier League,73,1.23,0,1.23,1.23,1.23,0.18,0.06,0.24,0.18,0.24,1.25,1.25,6.7,1.23,0,66.7,25,1.25,0,0,0,0,2.5,8.75,1.25,0,2.5,1.25,36.3,5,50,188.8
Benjamin André,MF,Lille,Ligue 1,2054,0.09,0.04,0.13,0.09,0.13,0.05,0.05,0.09,0.05,0.09,0.7,0.13,13.8,1.88,0.22,79.2,183.1,0.57,4.3,0.35,0.18,3.55,3.64,26,1.97,1.97,5.61,2.06,66.4,1.18,85.2,98
